max_in_size,min_in_size,max_out_size,min_out_size,mean_in_size,mean_out_size
-1,-1298,1298,32,-1280.6266546329723,1103.0390879478828
-25,-1298,1298,90,-1288.8701986754968,1136.9901960784314
-4,-1298,1298,29,-1284.147314578005,1139.6191860465117
-6,-1298,1298,7,-1278.2189418298742,1096.0204081632653
-9,-1298,1298,6,-1288.7452733776188,1125.110447761194
-9,-1298,1298,27,-1285.864668769716,1103.9794520547946
-9,-1298,1298,32,-1281.7489069331668,1094.3027210884354
-6,-1298,1298,27,-1285.3355831533477,1091.1626506024097
-32,-1298,1298,61,-1285.9779855247286,1119.4951768488745
-3,-1298,1298,3,-1283.9455760662,1113.4247491638796
-12,-1298,1298,61,-1283.918215613383,1119.2266666666667
-6,-1298,1298,87,-1283.2556886227544,1115.1454005934718
-9,-1298,1298,90,-1273.898852657005,1091.2312703583061
-3,-1298,1298,61,-1283.016497461929,1109.2828282828282
-21,-1298,1298,3,-1275.709827539009,1070.8582677165355
-3,-1298,1298,29,-1287.6305868045,1155.859589041096
-1,-1298,1298,61,-1284.4632768361582,1120.1103202846975
-32,-1448,1298,32,-1284.5064045278523,1127.3761467889908
-35,-1298,1298,3,-1277.638374178123,1032.4906542056074
-5,-1298,1298,61,-1282.896019013666,1103.8614864864865
-3,-1298,1298,24,-1288.3817911188291,1135.7253731343283
-6,-1298,1298,18,-1289.894369706029,1141.1656626506024
-3,-1298,1298,9,-1289.9133459835548,1127.4343434343434
-3,-1298,1298,90,-1280.8719653179191,1090.0933734939758
-26,-1298,1298,32,-1285.7014388489208,1112.6686217008798
-6,-1298,1298,87,-1285.6195136417557,1132.5709677419354
-6,-1298,1298,90,-1278.6822458270105,1087.5337620578778
-4,-1298,1298,32,-1280.6018112766578,1084.2621359223301
-18,-1298,1298,32,-1284.1759375,1128.4362416107383
-15,-1298,1298,24,-1286.4820757937862,1092.1492537313434
-3,-1298,1298,32,-1279.6784686240644,1121.2244897959183
-3,-1298,1298,61,-1287.0029665587917,1155.0760869565217
-13,-1298,1298,29,-1285.2879888268155,1130.1304347826087
-23,-1298,1298,90,-1286.2467183770882,1099.3498452012384
-3,-1298,1298,90,-1286.4901417128774,1137.484429065744
-24,-1298,1298,90,-1281.2234012044737,1057.4388059701494
-328,-1298,1298,90,-1289.5878938640133,1005.4479166666666
-3,-1298,1298,90,-1283.5301908843007,1082.4936170212766
-5,-1298,1298,32,-1286.7486080178173,1122.756329113924
-12,-1298,1298,32,-1285.2593444508339,1077.565445026178
-3,-1298,1298,119,-1286.536338028169,1145.6070287539935
-3,-1298,1298,26,-1288.0183630640083,1180.2123076923076
