max_in_size,min_in_size,max_out_size,min_out_size,mean_in_size,mean_out_size,total_in_volume,total_out_volume,load_time,packet_count
-1,-1298,1298,32,-1280.6266546329723,1103.0390879478828,-4256803,338633,15.88822603225708,3631
-25,-1298,1298,90,-1288.8701986754968,1136.9901960784314,-4865485,347919,13.915143013000488,4081
-4,-1298,1298,29,-1284.147314578005,1139.6191860465117,-5021016,392029,16.72726607322693,4254
-6,-1298,1298,7,-1278.2189418298742,1096.0204081632653,-4372787,375935,20.107630014419556,3764
-9,-1298,1298,6,-1288.7452733776188,1125.110447761194,-5044149,376912,17.52264714241028,4249
-9,-1298,1298,27,-1285.864668769716,1103.9794520547946,-4076191,322362,14.975491046905518,3462
-9,-1298,1298,32,-1281.7489069331668,1094.3027210884354,-4104160,321725,15.88844609260559,3496
-6,-1298,1298,27,-1285.3355831533477,1091.1626506024097,-4760883,362266,18.60177993774414,4036
-32,-1298,1298,61,-1285.9779855247286,1119.4951768488745,-4264303,348163,16.358813047409058,3627
-3,-1298,1298,3,-1283.9455760662,1113.4247491638796,-4034157,332914,16.371292114257812,3441
-12,-1298,1298,61,-1283.918215613383,1119.2266666666667,-4489862,335768,18.196995973587036,3797
-6,-1298,1298,87,-1283.2556886227544,1115.1454005934718,-4286074,375804,18.938607931137085,3677
-9,-1298,1298,90,-1273.898852657005,1091.2312703583061,-4219153,335008,18.82223916053772,3619
-3,-1298,1298,61,-1283.016497461929,1109.2828282828282,-4044068,329457,17.054726123809814,3449
-21,-1298,1298,3,-1275.709827539009,1070.8582677165355,-4660168,407997,27.396048069000244,4034
-3,-1298,1298,29,-1287.6305868045,1155.859589041096,-4235017,337511,13.380783796310425,3581
-1,-1298,1298,61,-1284.4632768361582,1120.1103202846975,-3864950,314751,14.778945922851562,3290
-32,-1448,1298,32,-1284.5064045278523,1127.3761467889908,-4312088,368652,16.598915815353394,3684
-35,-1298,1298,3,-1277.638374178123,1032.4906542056074,-4274978,441906,41.41583704948425,3774
-5,-1298,1298,61,-1282.896019013666,1103.8614864864865,-4318228,326743,16.17114520072937,3662
-3,-1298,1298,24,-1288.3817911188291,1135.7253731343283,-5193467,380468,15.806023120880127,4366
-6,-1298,1298,18,-1289.894369706029,1141.1656626506024,-5177636,378867,15.961863994598389,4346
-3,-1298,1298,9,-1289.9133459835548,1127.4343434343434,-4078706,334848,15.7572340965271,3459
-3,-1298,1298,90,-1280.8719653179191,1090.0933734939758,-4431817,361911,25.36922597885132,3792
-26,-1298,1298,32,-1285.7014388489208,1112.6686217008798,-4646525,379420,17.43036913871765,3955
-6,-1298,1298,87,-1285.6195136417557,1132.5709677419354,-4335109,351097,15.834128141403198,3682
-6,-1298,1298,90,-1278.6822458270105,1087.5337620578778,-4213258,338223,18.644601106643677,3606
-4,-1298,1298,32,-1280.6018112766578,1084.2621359223301,-4383500,335037,17.690208911895752,3732
-18,-1298,1298,32,-1284.1759375,1128.4362416107383,-4109363,336274,15.8925199508667,3498
-15,-1298,1298,24,-1286.4820757937862,1092.1492537313434,-3768106,292696,19.014629125595093,3197
-3,-1298,1298,32,-1279.6784686240644,1121.2244897959183,-4445603,384580,30.264256954193115,3817
-3,-1298,1298,61,-1287.0029665587917,1155.0760869565217,-4772207,425068,20.58368706703186,4076
-13,-1298,1298,29,-1285.2879888268155,1130.1304347826087,-4601331,363902,15.886811971664429,3902
-23,-1298,1298,90,-1286.2467183770882,1099.3498452012384,-4311499,355090,17.38100290298462,3675
-3,-1298,1298,90,-1286.4901417128774,1137.484429065744,-4175947,328733,13.199395895004272,3535
-24,-1298,1298,90,-1281.2234012044737,1057.4388059701494,-4467626,354242,24.968708038330078,3822
-328,-1298,1298,90,-1289.5878938640133,1005.4479166666666,-1555243,96523,23.66427993774414,1302
-3,-1298,1298,90,-1283.5301908843007,1082.4936170212766,-3294822,254386,17.30836510658264,2802
-5,-1298,1298,32,-1286.7486080178173,1122.756329113924,-4622001,354791,15.661170959472656,3908
-12,-1298,1298,32,-1285.2593444508339,1077.565445026178,-4470132,411630,40.44799017906189,3860
-3,-1298,1298,119,-1286.536338028169,1145.6070287539935,-4567204,358575,16.35976004600525,3863
-3,-1298,1298,26,-1288.0183630640083,1180.2123076923076,-4909926,383569,11.927157163619995,4137
-3,-1298,1298,21,-1283.1786687427013,1081.6724137931035,-3296486,250948,15.362446069717407,2801
-3,-1298,1298,90,-1280.368682442302,1093.1035598705503,-4382702,337769,18.633992195129395,3732
-6,-1298,1298,90,-1282.795858945325,1114.555944055944,-3965122,318763,17.41558003425598,3377
-32,-1298,1298,61,-1273.2546333601933,944.1696428571429,-1580109,105747,12.38427209854126,1353
-35,-1298,1298,119,-1277.3679867986798,949.9479166666666,-1548170,91195,13.07156491279602,1308
-184,-1298,1298,32,-1278.3357723577235,960.7155963302753,-1572353,104718,11.593165159225464,1339
-3,-1298,1298,32,-1277.4619787408012,986.9583333333334,-1562336,94748,11.771403074264526,1319
-15,-1298,1298,61,-1246.3735130848534,848.1746031746031,-1571677,106870,16.84353494644165,1387
-21,-1448,1298,31,-1275.134460547504,851.6448598130842,-1583717,91126,11.569813966751099,1349
-3,-1298,1298,6,-1287.3944413250983,1133.883495145631,-4585699,350370,16.80478596687317,3871
-7,-1298,1298,93,-1288.1834170854272,1150.5577557755776,-4614273,348619,13.6390380859375,3885
-32,-1298,1298,50,-1281.9558777182476,1102.0795847750865,-4067646,318501,18.541513204574585,3462
-3,-1298,1298,21,-1284.6257493576934,1128.0419161676646,-4500044,376766,17.578110933303833,3837
-3,-1298,1298,29,-1288.3755623964007,1156.7253731343283,-5440810,387503,14.814356088638306,4558
-3,-1298,1298,32,-1290.144146767618,1156.5424242424242,-4430355,381659,18.26425290107727,3764
-33,-1298,1298,90,-1281.477960242005,961.5444444444445,-1482670,86539,12.41842794418335,1247
