max_in_size,min_in_size,max_out_size,min_out_size,mean_in_size,mean_out_size,total_in_volume,total_out_volume,load_time,packet_count
-6,-1460,1460,3,-1041.5546558704452,359.53263157894736,-1029056,170778,10.880090951919556,1463
-19,-1460,1460,24,-1172.8004201680671,455.60663507109007,-558253,96133,12.106659889221191,687
-19,-1460,1460,24,-1139.5313725490196,397.73636363636365,-581161,87502,11.67997694015503,730
-19,-1460,1460,24,-1152.5504885993485,388.01413427561835,-707666,109808,12.371838092803955,897
-6,-1460,1460,24,-1046.482638888889,335.21627906976744,-904161,144143,7.685449123382568,1294
-6,-1460,1460,17,-983.2262334536703,376.2547619047619,-817061,158027,10.40021800994873,1251
-6,-1460,1460,24,-1073.0405616224648,361.93145161290323,-687819,89759,6.3737640380859375,889
-1,-1460,1460,6,-984.4993894993895,374.49408983451536,-806305,158411,10.09692096710205,1242
-6,-1460,1460,24,-1033.995652173913,356.99789915966386,-951276,169931,8.437835931777954,1396
-6,-1460,1460,24,-1045.0695047784536,354.7649186256781,-1202875,196185,9.166983127593994,1704
-19,-1460,1460,13,-1338.913626609442,384.380073800738,-2495735,104167,10.8350248336792,2135
-6,-1460,1460,24,-976.511574074074,338.19018404907973,-843706,165375,16.12743091583252,1353
-1,-1460,1460,24,-961.1094091903719,299.980306345733,-878454,137091,11.443086862564087,1371
-19,-1460,1460,24,-1164.3423423423424,307.86324786324786,-646210,72040,12.403459072113037,789
-6,-1460,1460,24,-1084.001572327044,369.3687707641196,-689425,111180,12.145802974700928,937
-6,-1460,1460,24,-971.0771929824562,367.2141230068337,-830271,161207,11.349790096282959,1294
-6,-1460,1460,24,-1076.7745358090185,353.720703125,-1217832,181105,12.996378898620605,1643
-6,-1460,1460,24,-973.6819221967963,351.3556034482759,-850998,163029,10.506897211074829,1338
-6,-1460,1460,24,-1159.669344042838,416.21035598705504,-866273,128609,8.12333607673645,1056
-6,-1460,1460,24,-1264.3038348082596,328.8793774319066,-3428792,169044,11.546038150787354,3226
-6,-1460,1460,24,-1040.5089408528197,345.6906906906907,-756450,115115,6.519197940826416,1060
-3,-1460,1460,24,-1335.03007518797,450.8673469387755,-2130708,88370,8.399231910705566,1792
-6,-1460,1460,24,-1245.8828361435365,365.9961315280464,-2881727,189220,11.000929117202759,2830
-6,-1460,1460,24,-1235.871794871795,341.18918918918916,-2602746,176736,11.000407934188843,2624
-11,-1460,1460,24,-1229.3607142857143,366.19417475728153,-1032663,75436,11.20278787612915,1046
-19,-1460,1460,24,-1121.3803278688524,521.3453608247422,-684042,101141,5.984510898590088,804
-6,-1460,1460,24,-1265.6445022288262,320.31027253668765,-3407115,152788,6.670611143112183,3169
-3,-1460,1460,24,-1030.03861003861,350.64954682779455,-800340,116065,6.215175151824951,1108
-6,-1460,1460,13,-968.479375696767,352.60251046025104,-868726,168544,11.06671690940857,1375
-6,-1460,1460,14,-998.4465212876428,359.1278350515464,-961504,174177,10.553421974182129,1448
-6,-1460,1460,2,-1258.814683768244,352.3408071748879,-2846180,157144,11.23206901550293,2707
-19,-1460,1460,7,-1196.568356374808,397.0811808118081,-778966,107609,11.67795205116272,922
-14,-1460,1460,24,-1142.1522556390978,729.1519337016574,-607625,263953,12.511470079421997,894
-6,-1460,1460,24,-1193.7925243770314,355.0252918287938,-2203741,182483,10.426982879638672,2360
-19,-1460,1460,10,-1348.3059743160245,498.9956140350877,-2414816,113771,14.13932991027832,2019
-19,-1460,1460,24,-1103.955149501661,385.9010989010989,-664581,105351,7.497720956802368,875
-14,-1460,1460,24,-1327.659363588941,409.28521126760563,-2545123,116237,9.61676812171936,2201
-21,-1460,1460,24,-1123.5890183028287,432.6282894736842,-675277,131519,11.64214301109314,905
-6,-1460,1460,24,-1005.7509339975094,353.2545045045045,-807618,156845,13.518308877944946,1247
-1,-1460,1460,24,-1281.7853560682047,419.36341463414635,-2555880,171939,28.231256008148193,2404
-6,-1460,1460,24,-1033.7864197530864,328.0904109589041,-837367,119753,7.844902038574219,1175
-6,-1460,1448,24,-1064.3654743390357,323.69964664310953,-684387,91607,6.376519203186035,926
-10,-1460,1460,24,-1138.2061855670104,462.4736842105263,-552030,105444,14.116276025772095,713
-4,-1460,1460,24,-1284.687766281193,337.59615384615387,-2110742,105330,16.049202919006348,1955
-6,-1460,1460,24,-1059.2067039106146,370.5967302452316,-758392,136009,13.36321496963501,1083
-6,-1460,1460,24,-1028.1993637327678,340.1020408163265,-969592,166650,11.99022912979126,1433
-6,-1460,1460,24,-1123.3040152963672,365.7704918032787,-1174976,156184,8.851592063903809,1473
-19,-1460,1460,24,-1199.5745526838966,539.4263157894737,-603386,102491,9.425469875335693,693
