max_in_size,min_in_size,max_out_size,min_out_size,mean_in_size,mean_out_size,total_in_volume,total_out_volume,load_time,packet_count
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4853040.0,30419100.0,483.74121928215027,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5511500.0,29760640.0,478.7215895652771,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5708600.0,29563540.0,479.39284229278564,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4994660.0,30277480.0,479.3625707626343,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5714440.0,29557700.0,479.040974855423,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4628200.0,30643940.0,488.61512899398804,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4674920.0,30597220.0,490.71999621391296,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5407840.0,29864300.0,482.5777323246002,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4841360.0,30430780.0,484.0666642189026,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4587320.0,30684820.0,493.2125928401947,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5105620.0,30166520.0,488.00972986221313,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4876400.0,30395740.0,491.0977575778961,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4835520.0,30436620.0,480.0861120223999,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4601920.0,30670220.0,496.01690459251404,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5333380.0,29938760.0,492.97347378730774,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4801940.0,30470200.0,481.5206379890442,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4393140.0,30879000.0,499.49130725860596,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4901220.0,30370920.0,491.0843095779419,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4885160.0,30386980.0,511.94698691368103,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4914360.0,30357780.0,484.7038731575012,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5885260.0,29386880.0,475.52588653564453,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5860440.0,29411700.0,479.46682810783386,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4616520.0,30655620.0,483.8336749076843,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5051600.0,30220540.0,497.25674962997437,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5276440.0,29995700.0,480.4765114784241,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4923120.0,30349020.0,488.6025016307831,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4810700.0,30461440.0,492.8486762046814,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4997580.0,30274560.0,494.39319038391113,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4672000.0,30600140.0,486.1513171195984,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4276340.0,30995800.0,497.46762585639954,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5072040.0,30200100.0,495.1667387485504,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5413680.0,29858460.0,487.7169334888458,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5226800.0,30045340.0,480.32198882102966,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4893920.0,30378220.0,493.8849070072174,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4739160.0,30532980.0,490.7763161659241,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5091020.0,30181120.0,490.08262968063354,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-1760760.0,33511380.0,545.416431427002,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-3747820.0,31524320.0,514.123594045639,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5244320.0,30027820.0,487.1974034309387,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5077880.0,30194260.0,514.0116639137268,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5183000.0,30089140.0,488.60293197631836,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5565520.0,29706620.0,477.0006206035614,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-3750740.0,31521400.0,508.9711127281189,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4997580.0,30274560.0,491.9007430076599,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4512860.0,30759280.0,503.00722098350525,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-1811860.0,33460280.0,534.1250920295715,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-1769520.0,33502620.0,537.3595535755157,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-1795800.0,33476340.0,540.7916808128357,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-1785580.0,33486560.0,540.4023654460907,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-1841060.0,33431080.0,533.5519387722015,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-1813320.0,33458820.0,541.591123342514,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5200520.0,30071620.0,489.0494613647461,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5229720.0,30042420.0,484.95232105255127,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4632580.0,30639560.0,494.44937229156494,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5114380.0,30157760.0,492.90162086486816,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-6165580.0,29106560.0,464.45241594314575,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5013640.0,30258500.0,485.77009105682373,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-1689220.0,33582920.0,547.3976621627808,24159.0
